phi,constraint,S_times_Ms,psi_s,regime
0.15084745762711865,0.4,0.2157872215261092,0.08137738438908355,underdriven_or_overconstrained
0.15084745762711865,0.5,0.23710577008696543,0.07153360521267771,underdriven_or_overconstrained
0.15084745762711865,0.6,0.2554455553375528,0.06422218764136214,underdriven_or_overconstrained
0.15084745762711865,0.7000000000000001,0.2713346814265532,0.05847163837037103,underdriven_or_overconstrained
0.15084745762711865,0.8,0.2851838791408378,0.05377407890579357,underdriven_or_overconstrained
0.15084745762711865,0.9,0.29731739374204946,0.04983285883812129,underdriven_or_overconstrained
0.15084745762711865,1.0,0.30799460645152305,0.04646020334607721,underdriven_or_overconstrained
0.15084745762711865,1.1,0.3174254783674364,0.04352984217981794,underdriven_or_overconstrained
0.15084745762711865,1.2000000000000002,0.32578178240393896,0.04095279468072113,underdriven_or_overconstrained
0.15084745762711865,1.3000000000000003,0.3332054051586178,0.03866399095060884,underdriven_or_overconstrained
0.15084745762711865,1.4000000000000001,0.33981457331253956,0.036614403177743365,underdriven_or_overconstrained
0.15084745762711865,1.5000000000000002,0.34570858569374935,0.03476617415451264,underdriven_or_overconstrained
0.15084745762711865,1.6,0.3509714533256079,0.033089469646164306,underdriven_or_overconstrained
0.15084745762711865,1.7000000000000002,0.35567473057501203,0.031560369911441746,underdriven_or_overconstrained
0.15084745762711865,1.8000000000000003,0.35987973962552994,0.030159413207789223,underdriven_or_overconstrained
0.15084745762711865,1.9000000000000001,0.3636393347142679,0.028870562702560075,underdriven_or_overconstrained
0.15084745762711865,2.0,0.36699931352093573,0.027680456697765494,underdriven_or_overconstrained
0.15084745762711865,2.1,0.36999955538441953,0.026577853453763792,underdriven_or_overconstrained
0.15084745762711865,2.2,0.37267494610335183,0.02555321279137004,underdriven_or_overconstrained
0.15084745762711865,2.3000000000000003,0.3750561345907395,0.024598375813246733,underdriven_or_overconstrained
0.15084745762711865,2.4000000000000004,0.37717015600093506,0.023706316302318658,underdriven_or_overconstrained
0.15084745762711865,2.5000000000000004,0.37904094803448507,0.022870945339029943,underdriven_or_overconstrained
0.15084745762711865,2.6,0.3806897811918265,0.022086956014388894,underdriven_or_overconstrained
0.15084745762711865,2.7,0.3821356192557799,0.02134969875314778,underdriven_or_overconstrained
0.15084745762711865,2.8000000000000003,0.38339542285543243,0.020655080287005745,underdriven_or_overconstrained
0.15084745762711865,2.9000000000000004,0.3844844063275733,0.019999481100616025,underdriven_or_overconstrained
0.15084745762711865,3.0000000000000004,0.3854162560486119,0.019379687451031895,underdriven_or_overconstrained
0.15084745762711865,3.1,0.38620331681519016,0.01879283498991357,underdriven_or_overconstrained
0.15084745762711865,3.2,0.38685675159871,0.01823636170142224,underdriven_or_overconstrained
0.15084745762711865,3.3000000000000003,0.38738667900825563,0.017707968377881227,underdriven_or_overconstrained
0.15084745762711865,3.4000000000000004,0.38780229200830335,0.017205585238653537,underdriven_or_overconstrained
0.15084745762711865,3.5000000000000004,0.3881119608071446,0.016727343589266766,underdriven_or_overconstrained
0.15084745762711865,3.6,0.38832332232482686,0.016271551641671184,underdriven_or_overconstrained
0.15084745762711865,3.7,0.38844335823940906,0.01583667378987971,underdriven_or_overconstrained
0.15084745762711865,3.8000000000000003,0.38847846327719676,0.015421312770593448,underdriven_or_overconstrained
0.15084745762711865,3.9000000000000004,0.38843450514067446,0.01502419424490223,underdriven_or_overconstrained
0.15084745762711865,4.0,0.38831687724485997,0.014644153421522263,underdriven_or_overconstrained
0.15084745762711865,4.1,0.3881305452491603,0.014280123409332482,underdriven_or_overconstrained
0.15084745762711865,4.2,0.3878800882199536,0.01393112504099107,underdriven_or_overconstrained
0.15084745762711865,4.3,0.38756973513304505,0.013596257953031536,underdriven_or_overconstrained
0.15084745762711865,4.3999999999999995,0.3872033973200906,0.013274692743254265,underdriven_or_overconstrained
0.15084745762711865,4.5,0.38678469737521165,0.012965664055138923,underdriven_or_overconstrained
0.15084745762711865,4.6,0.38631699496427724,0.012668464462719485,underdriven_or_overconstrained
0.15084745762711865,4.7,0.38580340991723044,0.01238243904891219,underdriven_or_overconstrained
0.15084745762711865,4.8,0.3852468429313671,0.012106980586473047,underdriven_or_overconstrained
0.15084745762711865,4.9,0.3846499941690159,0.01184152524422083,underdriven_or_overconstrained
0.15084745762711865,5.0,0.3840153799952731,0.011585548752399765,underdriven_or_overconstrained
0.15084745762711865,5.1,0.3833453480692301,0.011338562970475734,underdriven_or_overconstrained
0.15084745762711865,5.2,0.38264209097458984,0.011100112808584908,underdriven_or_overconstrained
0.15084745762711865,5.3,0.3819076585519647,0.010869773460545205,underdriven_or_overconstrained
0.15084745762711865,5.4,0.38114396907485926,0.010647147912009566,underdriven_or_overconstrained
0.15084745762711865,5.5,0.38035281939386606,0.010431864692158422,underdriven_or_overconstrained
0.15084745762711865,5.6,0.3795358941585065,0.01022357584143677,underdriven_or_overconstrained
0.15084745762711865,5.7,0.3786947742130841,0.010021955071354293,underdriven_or_overconstrained
0.15084745762711865,5.8,0.377830944251579,0.009826696095380049,underdriven_or_overconstrained
0.15084745762711865,5.9,0.37694579980675363,0.009637511112554172,underdriven_or_overconstrained
0.15084745762711865,6.0,0.37604065364005074,0.009454129427673593,underdriven_or_overconstrained
0.2516949152542373,0.1,0.15239762380690855,0.3835770700902698,underdriven_or_overconstrained
0.2516949152542373,0.2,0.19531245846289041,0.24579576340456974,underdriven_or_overconstrained
0.2516949152542373,0.30000000000000004,0.23114514320159554,0.1939268574318471,underdriven_or_overconstrained
0.2516949152542373,0.4,0.26141695099404866,0.16449329331617044,underdriven_or_overconstrained
0.2516949152542373,0.5,0.28724345696128584,0.14459543511441,underdriven_or_overconstrained
0.2516949152542373,0.6,0.30946131911358243,0.12981640081459603,underdriven_or_overconstrained
0.2516949152542373,0.7000000000000001,0.3287103129454248,0.1181924490857036,underdriven_or_overconstrained
0.2516949152542373,0.8,0.34548802116455574,0.10869697276045874,underdriven_or_overconstrained
0.2516949152542373,0.9,0.3601872529793865,0.10073033346033691,underdriven_or_overconstrained
0.2516949152542373,1.0,0.3731222375993528,0.0939129699720405,underdriven_or_overconstrained
0.2516949152542373,1.1,0.38454733387723955,0.08798964419224972,underdriven_or_overconstrained
0.2516949152542373,1.2000000000000002,0.3946706373210324,0.08278049384487755,underdriven_or_overconstrained
0.2516949152542373,1.3000000000000003,0.4036640374497948,0.07815398899777642,underdriven_or_overconstrained
0.2516949152542373,1.4000000000000001,0.4116707608098995,0.07401102661049647,underdriven_or_overconstrained
0.2516949152542373,1.5000000000000002,0.4188111036667197,0.07027508349661907,underdriven_or_overconstrained
0.2516949152542373,1.6,0.4251868417668522,0.06688585381607792,underdriven_or_overconstrained
0.2516949152542373,1.7000000000000002,0.4308846601525907,0.06379498707144537,underdriven_or_overconstrained
0.2516949152542373,1.8000000000000003,0.43597884801559056,0.06096314400218003,underdriven_or_overconstrained
0.2516949152542373,1.9000000000000001,0.44053343599405975,0.058357908336412016,underdriven_or_overconstrained
0.2516949152542373,2.0,0.44460390600999367,0.05595227122244413,underdriven_or_overconstrained
0.2516949152542373,2.1,0.44823857016966795,0.053723509015492894,underdriven_or_overconstrained
