time,host,parasite,resource,scenario,boundary_specificity
56.91320176291995,1.0729930178384472,9.359205331122388,0.09818172579329291,open_boundary,0.0
57.01320176291995,1.0687320420585824,9.375144854134351,0.09806426044704988,open_boundary,0.0
57.11320176291995,1.064483331921384,9.391043075636707,0.09794737310000869,open_boundary,0.0
57.21320176291995,1.0602468975738586,9.406900016331711,0.09783106037624367,open_boundary,0.0
57.31320176291995,1.0560227485827505,9.422715697729062,0.09771531892368183,open_boundary,0.0
57.413201762919954,1.0518108939408477,9.438490142137685,0.09760014541390478,open_boundary,0.0
57.513201762919955,1.0476113420732425,9.454223372657554,0.09748553654195267,open_boundary,0.0
57.61320176291996,1.043424100843547,9.46991541317158,0.09737148902612978,open_boundary,0.0
57.71320176291996,1.0392491775600636,9.485566288337548,0.09725799960781217,open_boundary,0.0
57.81320176291996,1.0350865789819113,9.501176023580092,0.09714506505125685,open_boundary,0.0
57.91320176291996,1.0309363113251053,9.516744645082749,0.09703268214341287,open_boundary,0.0
58.01320176291996,1.0267983802685945,9.532272179780048,0.09692084769373419,open_boundary,0.0
58.113201762919964,1.0226727909602529,9.547758655349648,0.0968095585339941,open_boundary,0.0
58.213201762919965,1.018559548022827,9.563204100204546,0.09669881151810164,open_boundary,0.0
58.31320176291997,1.0144586555598398,9.578608543485318,0.09658860352191939,open_boundary,0.0
58.41320176291997,1.0103701171614496,9.593972015052422,0.09647893144308324,open_boundary,0.0
58.51320176291997,1.006293935910266,9.609294545478551,0.09636979220082363,open_boundary,0.0
58.61320176291997,1.0022301143871222,9.624576166041033,0.09626118273578853,open_boundary,0.0
58.71320176291997,0.9981786546768027,9.63981690871429,0.09615310000986803,open_boundary,0.0
58.813201762919974,0.9941395583737291,9.655016806162338,0.09604554100602056,open_boundary,0.0
58.913201762919975,0.990112826587602,9.670175891731352,0.09593850272810063,open_boundary,0.0
59.01320176291998,0.9860984599489996,9.68529419944226,0.09583198220068836,open_boundary,0.0
59.11320176291998,0.9820964586149342,9.700371763983414,0.09572597646892031,open_boundary,0.0
59.21320176291998,0.9781068222743655,9.715408620703283,0.09562048259832204,open_boundary,0.0
59.31320176291998,0.9741295501536719,9.730404805603223,0.09551549767464218,open_boundary,0.0
59.41320176291998,0.9701646410220788,9.745360355330279,0.09541101880368798,open_boundary,0.0
